sample	contig	taxid	name
SRR6145058	k99_3616	1747	Cutibacterium acnes
SRR6145058	k99_8349	1234380	Cutibacterium acnes C1
SRR6145058	k99_1475	1747	Cutibacterium acnes
SRR6145058	k99_2804	1747	Cutibacterium acnes
SRR6145058	k99_9720	1747	Cutibacterium acnes
SRR6145058	k99_9529	1747	Cutibacterium acnes
SRR6145058	k99_8350	1747	Cutibacterium acnes
SRR6145058	k99_1476	1747	Cutibacterium acnes
SRR6145058	k99_3617	1747	Cutibacterium acnes
SRR6145058	k99_5950	1747	Cutibacterium acnes
SRR6145058	k99_1478	1747	Cutibacterium acnes
SRR6145058	k99_7461	1747	Cutibacterium acnes
SRR6145058	k99_9153	1747	Cutibacterium acnes
SRR6145058	k99_10863	1747	Cutibacterium acnes
SRR6145058	k99_1106	1747	Cutibacterium acnes
SRR6145058	k99_11543	1234380	Cutibacterium acnes C1
SRR6145058	k99_10105	1747	Cutibacterium acnes
SRR6145058	k99_7774	1747	Cutibacterium acnes
SRR6145058	k99_1927	1747	Cutibacterium acnes
SRR6145058	k99_10750	1747	Cutibacterium acnes
SRR6145058	k99_9469	1747	Cutibacterium acnes
SRR6145058	k99_1107	1747	Cutibacterium acnes
SRR6145058	k99_10809	1747	Cutibacterium acnes
SRR6145058	k99_7843	1747	Cutibacterium acnes
SRR6145058	k99_8159	1747	Cutibacterium acnes
SRR6145058	k99_4313	1747	Cutibacterium acnes
SRR6145058	k99_2112	1747	Cutibacterium acnes
SRR6145058	k99_3367	1747	Cutibacterium acnes
SRR6145058	k99_9343	1747	Cutibacterium acnes
SRR6145058	k99_8225	1747	Cutibacterium acnes
SRR6145058	k99_10604	1747	Cutibacterium acnes
SRR6145058	k99_9802	1747	Cutibacterium acnes
SRR6145058	k99_9862	1747	Cutibacterium acnes
SRR6145058	k99_1108	1747	Cutibacterium acnes
SRR6145058	k99_3747	1747	Cutibacterium acnes
SRR6145058	k99_2932	1747	Cutibacterium acnes
SRR6145058	k99_1928	1747	Cutibacterium acnes
SRR6145058	k99_7079	1747	Cutibacterium acnes
SRR6145058	k99_11852	1747	Cutibacterium acnes
SRR6145058	k99_10042	1747	Cutibacterium acnes
SRR6145058	k99_2166	1747	Cutibacterium acnes
SRR6145058	k99_1728	1747	Cutibacterium acnes
SRR6145058	k99_10169	1747	Cutibacterium acnes
SRR6145058	k99_3687	1747	Cutibacterium acnes
SRR6145058	k99_8785	1747	Cutibacterium acnes
SRR6145058	k99_10993	1747	Cutibacterium acnes
SRR6145058	k99_9094	1747	Cutibacterium acnes
SRR6145058	k99_11792	1747	Cutibacterium acnes
SRR6145058	k99_10174	1747	Cutibacterium acnes
SRR6145058	k99_2360	1747	Cutibacterium acnes
SRR6145058	k99_7270	1747	Cutibacterium acnes
SRR6145058	k99_5195	1747	Cutibacterium acnes
SRR6145058	k99_6591	1747	Cutibacterium acnes
SRR6145058	k99_11979	1747	Cutibacterium acnes
SRR6145058	k99_11486	1747	Cutibacterium acnes
SRR6145058	k99_11794	1747	Cutibacterium acnes
SRR6145058	k99_7464	1282	Staphylococcus epidermidis
SRR6145058	k99_5391	9606	Homo sapiens
SRR6145058	k99_3622	1747	Cutibacterium acnes
SRR6145058	k99_2989	1747	Cutibacterium acnes
SRR6145058	k99_10605	1747	Cutibacterium acnes
SRR6145058	k99_8541	1747	Cutibacterium acnes
SRR6145058	k99_592	1747	Cutibacterium acnes
SRR6145058	k99_11723	1234380	Cutibacterium acnes C1
SRR6145058	k99_2299	1747	Cutibacterium acnes
SRR6145058	k99_4772	1747	Cutibacterium acnes
SRR6145058	k99_6477	1747	Cutibacterium acnes
SRR6145058	k99_4941	1747	Cutibacterium acnes
SRR6145058	k99_5392	1747	Cutibacterium acnes
SRR6145058	k99_11174	1747	Cutibacterium acnes
SRR6145058	k99_4502	1747	Cutibacterium acnes
SRR6145058	k99_8032	1747	Cutibacterium acnes
SRR6145058	k99_9304	1747	Cutibacterium acnes
SRR6145058	k99_10050	1747	Cutibacterium acnes
SRR6145058	k99_7718	1747	Cutibacterium acnes
SRR6145058	k99_10810	1747	Cutibacterium acnes
SRR6145058	k99_3308	1747	Cutibacterium acnes
SRR6145058	k99_6517	1747	Cutibacterium acnes
SRR6145058	k99_11230	1747	Cutibacterium acnes
SRR6145058	k99_8035	1747	Cutibacterium acnes
SRR6145058	k99_2858	1747	Cutibacterium acnes
SRR6145058	k99_9676	1747	Cutibacterium acnes
SRR6145058	k99_8036	1747	Cutibacterium acnes
SRR6145058	k99_7586	1747	Cutibacterium acnes
SRR6145058	k99_9986	1747	Cutibacterium acnes
SRR6145058	k99_2678	9606	Homo sapiens
SRR6145058	k99_2364	1747	Cutibacterium acnes
SRR6145058	k99_2814	1747	Cutibacterium acnes
SRR6145058	k99_4319	1234380	Cutibacterium acnes C1
SRR6145058	k99_4638	1747	Cutibacterium acnes
SRR6145058	k99_10179	1747	Cutibacterium acnes
SRR6145058	k99_7963	1747	Cutibacterium acnes
SRR6145058	k99_3374	1747	Cutibacterium acnes
SRR6145058	k99_9100	1747	Cutibacterium acnes
SRR6145058	k99_10352	1747	Cutibacterium acnes
SRR6145058	k99_8913	1747	Cutibacterium acnes
SRR6145058	k99_2863	1747	Cutibacterium acnes
SRR6145058	k99_10354	9606	Homo sapiens
SRR6145058	k99_2115	1747	Cutibacterium acnes
SRR6145058	k99_7337	1747	Cutibacterium acnes
SRR6145058	k99_10608	1747	Cutibacterium acnes
SRR6145058	k99_10299	1747	Cutibacterium acnes
SRR6145058	k99_11981	1747	Cutibacterium acnes
SRR6145058	k99_789	1747	Cutibacterium acnes
SRR6145058	k99_1045	1747	Cutibacterium acnes
SRR6145058	k99_7398	1234380	Cutibacterium acnes C1
SRR6145058	k99_10610	1747	Cutibacterium acnes
SRR6145058	k99_11299	1883	Streptomyces
