sample	contig	taxid	name
SRR6145060	k99_7602	1747	Cutibacterium acnes
SRR6145060	k99_10758	1747	Cutibacterium acnes
SRR6145060	k99_7759	34062	Moraxella osloensis
SRR6145060	k99_12160	1747	Cutibacterium acnes
SRR6145060	k99_11578	1747	Cutibacterium acnes
SRR6145060	k99_11481	1747	Cutibacterium acnes
SRR6145060	k99_14688	1747	Cutibacterium acnes
SRR6145060	k99_15336	1747	Cutibacterium acnes
SRR6145060	k99_947	1747	Cutibacterium acnes
SRR6145060	k99_6542	1747	Cutibacterium acnes
SRR6145060	k99_8787	1747	Cutibacterium acnes
SRR6145060	k99_12321	1234380	Cutibacterium acnes C1
SRR6145060	k99_7096	1747	Cutibacterium acnes
SRR6145060	k99_15767	1747	Cutibacterium acnes
SRR6145060	k99_8849	1747	Cutibacterium acnes
SRR6145060	k99_11816	1091045	Cutibacterium acnes subsp. defendens ATCC 11828
SRR6145060	k99_7349	1234380	Cutibacterium acnes C1
SRR6145060	k99_7099	9606	Homo sapiens
SRR6145060	k99_4527	1747	Cutibacterium acnes
SRR6145060	k99_12964	1747	Cutibacterium acnes
SRR6145060	k99_11338	1234380	Cutibacterium acnes C1
SRR6145060	k99_15769	1747	Cutibacterium acnes
SRR6145060	k99_4612	1747	Cutibacterium acnes
SRR6145060	k99_13800	1747	Cutibacterium acnes
SRR6145060	k99_11985	1234380	Cutibacterium acnes C1
SRR6145060	k99_9190	1747	Cutibacterium acnes
SRR6145060	k99_657	1747	Cutibacterium acnes
SRR6145060	k99_7927	1234380	Cutibacterium acnes C1
SRR6145060	k99_4201	34062	Moraxella osloensis
SRR6145060	k99_3712	1134454	Cutibacterium acnes HL096PA1
SRR6145060	k99_11915	1234380	Cutibacterium acnes C1
SRR6145060	k99_7101	1747	Cutibacterium acnes
SRR6145060	k99_3713	1747	Cutibacterium acnes
SRR6145060	k99_1883	1747	Cutibacterium acnes
SRR6145060	k99_13625	1747	Cutibacterium acnes
SRR6145060	k99_7696	1747	Cutibacterium acnes
SRR6145060	k99_2122	1747	Cutibacterium acnes
SRR6145060	k99_13138	1234380	Cutibacterium acnes C1
SRR6145060	k99_3519	1747	Cutibacterium acnes
SRR6145060	k99_15344	1747	Cutibacterium acnes
SRR6145060	k99_9777	1747	Cutibacterium acnes
SRR6145060	k99_2700	1234380	Cutibacterium acnes C1
SRR6145060	k99_13139	1747	Cutibacterium acnes
SRR6145060	k99_7606	1747	Cutibacterium acnes
SRR6145060	k99_12475	1747	Cutibacterium acnes
SRR6145060	k99_9266	1747	Cutibacterium acnes
SRR6145060	k99_9693	1747	Cutibacterium acnes
SRR6145060	k99_8700	1747	Cutibacterium acnes
SRR6145060	k99_8362	9606	Homo sapiens
SRR6145060	k99_9269	9606	Homo sapiens
SRR6145060	k99_4882	1747	Cutibacterium acnes
SRR6145060	k99_7760	1747	Cutibacterium acnes
SRR6145060	k99_11342	1747	Cutibacterium acnes
SRR6145060	k99_5429	34062	Moraxella osloensis
SRR6145060	k99_8363	1747	Cutibacterium acnes
SRR6145060	k99_6193	1747	Cutibacterium acnes
SRR6145060	k99_10922	1234380	Cutibacterium acnes C1
SRR6145060	k99_10762	1747	Cutibacterium acnes
SRR6145060	k99_6691	1234380	Cutibacterium acnes C1
SRR6145060	k99_15098	1234380	Cutibacterium acnes C1
SRR6145060	k99_14525	1747	Cutibacterium acnes
SRR6145060	k99_13309	1747	Cutibacterium acnes
SRR6145060	k99_15661	1747	Cutibacterium acnes
SRR6145060	k99_10855	1747	Cutibacterium acnes
SRR6145060	k99_14032	1747	Cutibacterium acnes
SRR6145060	k99_3461	1747	Cutibacterium acnes
SRR6145060	k99_13310	1747	Cutibacterium acnes
SRR6145060	k99_3462	1747	Cutibacterium acnes
SRR6145060	k99_6853	1747	Cutibacterium acnes
SRR6145060	k99_15608	1747	Cutibacterium acnes
SRR6145060	k99_2805	1747	Cutibacterium acnes
SRR6145060	k99_4203	1234380	Cutibacterium acnes C1
SRR6145060	k99_10926	1747	Cutibacterium acnes
SRR6145060	k99_2298	1747	Cutibacterium acnes
SRR6145060	k99_3523	1747	Cutibacterium acnes
SRR6145060	k99_2537	1747	Cutibacterium acnes
SRR6145060	k99_15664	9606	Homo sapiens
SRR6145060	k99_5377	1234380	Cutibacterium acnes C1
SRR6145060	k99_14129	1747	Cutibacterium acnes
SRR6145060	k99_1545	9606	Homo sapiens
SRR6145060	k99_4708	1747	Cutibacterium acnes
SRR6145060	k99_11346	1747	Cutibacterium acnes
SRR6145060	k99_3632	1747	Cutibacterium acnes
SRR6145060	k99_10675	1747	Cutibacterium acnes
SRR6145060	k99_4709	1747	Cutibacterium acnes
SRR6145060	k99_5942	9606	Homo sapiens
SRR6145060	k99_15666	1747	Cutibacterium acnes
SRR6145060	k99_14993	1747	Cutibacterium acnes
SRR6145060	k99_1546	1747	Cutibacterium acnes
SRR6145060	k99_13807	1747	Cutibacterium acnes
SRR6145060	k99_8852	1747	Cutibacterium acnes
SRR6145060	k99_10439	1747	Cutibacterium acnes
SRR6145060	k99_4777	1747	Cutibacterium acnes
SRR6145060	k99_3526	1747	Cutibacterium acnes
SRR6145060	k99_14448	1747	Cutibacterium acnes
SRR6145060	k99_6950	1747	Cutibacterium acnes
SRR6145060	k99_14939	1747	Cutibacterium acnes
SRR6145060	k99_5777	1747	Cutibacterium acnes
SRR6145060	k99_10992	1747	Cutibacterium acnes
SRR6145060	k99_5681	9606	Homo sapiens
SRR6145060	k99_1889	1747	Cutibacterium acnes
SRR6145060	k99_1387	1747	Cutibacterium acnes
SRR6145060	k99_12557	1234380	Cutibacterium acnes C1
SRR6145060	k99_12336	1747	Cutibacterium acnes
SRR6145060	k99_4036	1747	Cutibacterium acnes
SRR6145060	k99_14619	1747	Cutibacterium acnes
SRR6145060	k99_5882	1747	Cutibacterium acnes
SRR6145060	k99_7931	1747	Cutibacterium acnes
SRR6145060	k99_15192	1747	Cutibacterium acnes
SRR6145060	k99_13555	1747	Cutibacterium acnes
SRR6145060	k99_9544	1747	Cutibacterium acnes
SRR6145060	k99_2637	1747	Cutibacterium acnes
SRR6145060	k99_14782	1354275	Mycolicibacterium vaccae 95051
SRR6145060	k99_13155	1747	Cutibacterium acnes
SRR6145060	k99_6034	1234380	Cutibacterium acnes C1
SRR6145060	k99_8452	1747	Cutibacterium acnes
SRR6145060	k99_8366	1747	Cutibacterium acnes
SRR6145060	k99_5688	9606	Homo sapiens
SRR6145060	k99_15821	1747	Cutibacterium acnes
SRR6145060	k99_13045	1747	Cutibacterium acnes
SRR6145060	k99_4290	1747	Cutibacterium acnes
SRR6145060	k99_1220	34062	Moraxella osloensis
SRR6145060	k99_7111	1747	Cutibacterium acnes
SRR6145060	k99_12487	1274	Dermacoccus nishinomiyaensis
SRR6145060	k99_4620	1747	Cutibacterium acnes
SRR6145060	k99_2539	1747	Cutibacterium acnes
SRR6145060	k99_1718	1234380	Cutibacterium acnes C1
SRR6145060	k99_4715	1491	Clostridium botulinum
SRR6145060	k99_7621	1747	Cutibacterium acnes
SRR6145060	k99_7450	1747	Cutibacterium acnes
SRR6145060	k99_2702	1234380	Cutibacterium acnes C1
SRR6145060	k99_2132	1747	Cutibacterium acnes
SRR6145060	k99_8367	1747	Cutibacterium acnes
SRR6145060	k99_9784	1747	Cutibacterium acnes
SRR6145060	k99_8123	1234380	Cutibacterium acnes C1
SRR6145060	k99_3724	1747	Cutibacterium acnes
SRR6145060	k99_14454	1747	Cutibacterium acnes
SRR6145060	k99_3893	1747	Cutibacterium acnes
SRR6145060	k99_11263	34062	Moraxella osloensis
SRR6145060	k99_13731	1747	Cutibacterium acnes
SRR6145060	k99_8031	1747	Cutibacterium acnes
SRR6145060	k99_13232	1747	Cutibacterium acnes
SRR6145060	k99_5950	1747	Cutibacterium acnes
SRR6145060	k99_13233	1747	Cutibacterium acnes
SRR6145060	k99_11165	1747	Cutibacterium acnes
SRR6145060	k99_7210	1747	Cutibacterium acnes
SRR6145060	k99_14135	1747	Cutibacterium acnes
SRR6145060	k99_12003	1747	Cutibacterium acnes
SRR6145060	k99_4533	34062	Moraxella osloensis
SRR6145060	k99_14999	1747	Cutibacterium acnes
SRR6145060	k99_15823	1747	Cutibacterium acnes
SRR6145060	k99_3896	34062	Moraxella osloensis
SRR6145060	k99_7114	1747	Cutibacterium acnes
SRR6145060	k99_15423	1747	Cutibacterium acnes
SRR6145060	k99_14698	1747	Cutibacterium acnes
SRR6145060	k99_968	1747	Cutibacterium acnes
SRR6145060	k99_10775	1747	Cutibacterium acnes
SRR6145060	k99_11830	1234380	Cutibacterium acnes C1
SRR6145060	k99_14702	1234380	Cutibacterium acnes C1
SRR6145060	k99_2311	1270	Micrococcus luteus
SRR6145060	k99_13969	9606	Homo sapiens
SRR6145060	k99_9701	1234380	Cutibacterium acnes C1
SRR6145060	k99_15783	1747	Cutibacterium acnes
SRR6145060	k99_12733	1747	Cutibacterium acnes
SRR6145060	k99_15518	1234380	Cutibacterium acnes C1
SRR6145060	k99_13465	1747	Cutibacterium acnes
SRR6145060	k99_5786	1747	Cutibacterium acnes
SRR6145060	k99_9702	1747	Cutibacterium acnes
SRR6145060	k99_6377	1747	Cutibacterium acnes
SRR6145060	k99_1980	1747	Cutibacterium acnes
SRR6145060	k99_6442	1747	Cutibacterium acnes
SRR6145060	k99_7849	1747	Cutibacterium acnes
SRR6145060	k99_3535	1747	Cutibacterium acnes
SRR6145060	k99_14041	1747	Cutibacterium acnes
SRR6145060	k99_11094	1234380	Cutibacterium acnes C1
SRR6145060	k99_4622	1747	Cutibacterium acnes
SRR6145060	k99_1135	1234380	Cutibacterium acnes C1
SRR6145060	k99_11001	1747	Cutibacterium acnes
SRR6145060	k99_13054	1747	Cutibacterium acnes
SRR6145060	k99_1649	1747	Cutibacterium acnes
SRR6145060	k99_12008	1747	Cutibacterium acnes
SRR6145060	k99_14042	1747	Cutibacterium acnes
SRR6145060	k99_15622	1747	Cutibacterium acnes
SRR6145060	k99_13320	1747	Cutibacterium acnes
SRR6145060	k99_6299	34062	Moraxella osloensis
SRR6145060	k99_3795	1747	Cutibacterium acnes
SRR6145060	k99_14797	1747	Cutibacterium acnes
SRR6145060	k99_4538	34062	Moraxella osloensis
SRR6145060	k99_3475	34062	Moraxella osloensis
SRR6145060	k99_9450	1747	Cutibacterium acnes
SRR6145060	k99_5693	1747	Cutibacterium acnes
SRR6145060	k99_3643	1747	Cutibacterium acnes
SRR6145060	k99_15827	2	Bacteria
SRR6145060	k99_14951	1091045	Cutibacterium acnes subsp. defendens ATCC 11828
SRR6145060	k99_8131	1234380	Cutibacterium acnes C1
SRR6145060	k99_11926	1114969	Cutibacterium acnes TypeIA2 P.acn31
SRR6145060	k99_12494	1747	Cutibacterium acnes
SRR6145060	k99_10102	1234380	Cutibacterium acnes C1
SRR6145060	k99_15357	1234380	Cutibacterium acnes C1
SRR6145060	k99_4041	1747	Cutibacterium acnes
SRR6145060	k99_13634	1234380	Cutibacterium acnes C1
SRR6145060	k99_5954	28132	Prevotella melaninogenica
SRR6145060	k99_6114	1747	Cutibacterium acnes
SRR6145060	k99_1724	1747	Cutibacterium acnes
SRR6145060	k99_11170	1747	Cutibacterium acnes
SRR6145060	k99_4296	1747	Cutibacterium acnes
SRR6145060	k99_8195	34062	Moraxella osloensis
SRR6145060	k99_11171	1747	Cutibacterium acnes
SRR6145060	k99_14629	1747	Cutibacterium acnes
SRR6145060	k99_14142	1747	Cutibacterium acnes
SRR6145060	k99_10106	1747	Cutibacterium acnes
SRR6145060	k99_6116	1747	Cutibacterium acnes
SRR6145060	k99_7118	1270	Micrococcus luteus
SRR6145060	k99_3644	1747	Cutibacterium acnes
SRR6145060	k99_12910	1747	Cutibacterium acnes
SRR6145060	k99_8962	1114966	Cutibacterium acnes TypeIA2 P.acn33
SRR6145060	k99_2315	1747	Cutibacterium acnes
SRR6145060	k99_10107	1747	Cutibacterium acnes
SRR6145060	k99_1726	1747	Cutibacterium acnes
SRR6145060	k99_8709	1282	Staphylococcus epidermidis
SRR6145060	k99_3799	1234380	Cutibacterium acnes C1
SRR6145060	k99_10274	1747	Cutibacterium acnes
SRR6145060	k99_15521	1234380	Cutibacterium acnes C1
SRR6145060	k99_2882	1747	Cutibacterium acnes
SRR6145060	k99_10453	1747	Cutibacterium acnes
SRR6145060	k99_10526	1747	Cutibacterium acnes
SRR6145060	k99_6047	1747	Cutibacterium acnes
SRR6145060	k99_1654	1234380	Cutibacterium acnes C1
SRR6145060	k99_2888	1747	Cutibacterium acnes
SRR6145060	k99_4137	1747	Cutibacterium acnes
SRR6145060	k99_5548	34062	Moraxella osloensis
SRR6145060	k99_5549	1747	Cutibacterium acnes
SRR6145060	k99_2057	1747	Cutibacterium acnes
SRR6145060	k99_11745	1747	Cutibacterium acnes
SRR6145060	k99_904	1747	Cutibacterium acnes
SRR6145060	k99_717	1747	Cutibacterium acnes
