sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145059	Cellvibrionaceae	1706371	F	427	1	428	0.00005
SRR6145059	Brucellaceae	118882	F	297	85	382	0.00005
SRR6145059	Beijerinckiaceae	45404	F	393	22	415	0.00005
SRR6145059	Aurantimonadaceae	255475	F	415	39	454	0.00005
SRR6145059	Atopobiaceae	1643824	F	429	4	433	0.00005
SRR6145059	Verrucomicrobiaceae	203557	F	303	0	303	0.00004
SRR6145059	Selenomonadaceae	1843491	F	367	2	369	0.00004
SRR6145059	Rubrobacteraceae	84997	F	341	0	341	0.00004
SRR6145059	Opitutaceae	134623	F	334	4	338	0.00004
SRR6145059	Nostocaceae	1162	F	258	47	305	0.00004
SRR6145059	Halorubraceae	1963271	F	231	70	301	0.00004
SRR6145059	Halobacteriaceae	2236	F	244	70	314	0.00004
SRR6145059	Glycomycetaceae	85034	F	116	193	309	0.00004
SRR6145059	Dermatophilaceae	85018	F	294	2	296	0.00004
SRR6145059	Chelatococcaceae	2036754	F	294	29	323	0.00004
SRR6145059	Anaeromyxobacteraceae	1524215	F	295	4	299	0.00004
SRR6145059	Thermaceae	188786	F	240	0	240	0.00003
SRR6145059	Synechococcaceae	1890426	F	259	5	264	0.00003
SRR6145059	Sanguibacteraceae	145360	F	284	8	292	0.00003
SRR6145059	Ruminococcaceae	541000	F	225	24	249	0.00003
SRR6145059	Rhodothermaceae	563843	F	223	0	223	0.00003
SRR6145059	Rhodobiaceae	119043	F	224	30	254	0.00003
SRR6145059	Pseudoalteromonadaceae	267888	F	213	3	216	0.00003
SRR6145059	Planococcaceae	186818	F	247	5	252	0.00003
SRR6145059	Nitrosomonadaceae	206379	F	77	139	216	0.00003
SRR6145059	Mycoplasmataceae	2092	F	211	2	213	0.00003
SRR6145059	Methylococcaceae	403	F	260	0	260	0.00003
SRR6145059	Kineosporiaceae	83778	F	210	6	216	0.00003
SRR6145059	Hyphomonadaceae	69657	F	217	2	219	0.00003
SRR6145059	Haloferacaceae	1644056	F	248	6	254	0.00003
SRR6145059	Haloarculaceae	1963268	F	286	0	286	0.00003
SRR6145059	Geobacteraceae	213422	F	213	8	221	0.00003
SRR6145059	Gemmatimonadaceae	219687	F	253	0	253	0.00003
SRR6145059	Cardiobacteriaceae	868	F	232	3	235	0.00003
SRR6145059	Calotrichaceae	2661849	F	210	5	215	0.00003
SRR6145059	Baekduiaceae	2600303	F	279	2	281	0.00003
SRR6145059	Alcanivoracaceae	224372	F	206	6	212	0.00003
SRR6145059	Sandaracinaceae	1055686	F	195	1	196	0.00002
SRR6145059	Rikenellaceae	171550	F	170	13	183	0.00002
SRR6145059	Rickettsiaceae	775	F	189	0	189	0.00002
SRR6145059	Pirellulaceae	2691357	F	155	0	155	0.00002
SRR6145059	Peptococcaceae	186807	F	106	85	191	0.00002
SRR6145059	Myoviridae	10662	F	172	-11	161	0.00002
SRR6145059	Microbulbiferaceae	1706373	F	129	0	129	0.00002
SRR6145059	Listeriaceae	186820	F	120	33	153	0.00002
SRR6145059	Legionellaceae	444	F	141	-4	137	0.00002
SRR6145059	Lacipirellulaceae	2691359	F	183	0	183	0.00002
SRR6145059	Kofleriaceae	224464	F	138	1	139	0.00002
SRR6145059	Iamiaceae	633392	F	164	2	166	0.00002
SRR6145059	Gallionellaceae	90627	F	144	3	147	0.00002
SRR6145059	Eggerthellaceae	1643826	F	203	4	207	0.00002
SRR6145059	Desulfobacteraceae	213119	F	132	2	134	0.00002
SRR6145059	Coxiellaceae	118968	F	15	146	161	0.00002
SRR6145059	Catenulisporaceae	414877	F	193	3	196	0.00002
SRR6145059	Bdellovibrionaceae	213483	F	132	0	132	0.00002
SRR6145059	Acidobacteriaceae	204434	F	172	0	172	0.00002
SRR6145059	Wenzhouxiangellaceae	1676141	F	43	0	43	0.00001
SRR6145059	Vulgatibacteraceae	1524213	F	61	0	61	0.00001
SRR6145059	Vicinamibacteraceae	2211325	F	107	11	118	0.00001
SRR6145059	Trueperaceae	332247	F	88	0	88	0.00001
SRR6145059	Thiobacillaceae	2008790	F	88	6	94	0.00001
SRR6145059	Thermoproteaceae	2267	F	45	0	45	0.00001
SRR6145059	Thermococcaceae	2259	F	57	0	57	0.00001
SRR6145059	Thermoanaerobacteraceae	186814	F	66	0	66	0.00001
SRR6145059	Thermoactinomycetaceae	186824	F	43	0	43	0.00001
SRR6145059	Synergistaceae	649777	F	59	0	59	0.00001
SRR6145059	Sulfolobaceae	118883	F	52	0	52	0.00001
SRR6145059	Steroidobacteraceae	2689614	F	43	2	45	0.00001
SRR6145059	Spiroplasmataceae	2131	F	73	-1	72	0.00001
SRR6145059	Sphaerobacteraceae	85002	F	51	0	51	0.00001
SRR6145059	Solibacteraceae	332161	F	52	0	52	0.00001
SRR6145059	Segniliparaceae	316606	F	62	0	62	0.00001
SRR6145059	Scytonemataceae	1182	F	205	-124	81	0.00001
SRR6145059	Salinisphaeraceae	742031	F	45	0	45	0.00001
SRR6145059	Prolixibacteraceae	1471398	F	65	0	65	0.00001
SRR6145059	Podoviridae	10744	F	68	0	68	0.00001
SRR6145059	Piscirickettsiaceae	135616	F	86	1	87	0.00001
SRR6145059	Phycisphaeraceae	666507	F	63	24	87	0.00001
SRR6145059	Pelagibacteraceae	1655514	F	47	6	53	0.00001
SRR6145059	Odoribacteraceae	1853231	F	31	30	61	0.00001
SRR6145059	Oceanospirillaceae	135620	F	107	0	107	0.00001
SRR6145059	Nitrospiraceae	189779	F	124	0	124	0.00001
SRR6145059	Nimaviridae	196937	F	108	0	108	0.00001
